Race Name,Season,Round,Driver ID,Lap,Stop,Time,Duration
Australian Grand Prix,2019,1,kubica,1,1,16:15:28,32.997
Australian Grand Prix,2019,1,ricciardo,1,1,16:15:30,33.027
Australian Grand Prix,2019,1,raikkonen,12,1,16:31:50,23.299
Australian Grand Prix,2019,1,hulkenberg,13,1,16:33:19,21.588
Australian Grand Prix,2019,1,perez,13,1,16:33:28,23.234
Australian Grand Prix,2019,1,vettel,14,1,16:34:28,21.995
Australian Grand Prix,2019,1,kevin_magnussen,14,1,16:34:47,22.388
Australian Grand Prix,2019,1,albon,14,1,16:34:57,21.780
Australian Grand Prix,2019,1,hamilton,15,1,16:35:52,21.515
Australian Grand Prix,2019,1,grosjean,15,1,16:36:19,29.981
Australian Grand Prix,2019,1,norris,15,1,16:36:25,21.627
Australian Grand Prix,2019,1,bottas,23,1,16:47:33,22.014
Australian Grand Prix,2019,1,max_verstappen,25,1,16:50:47,21.157
Australian Grand Prix,2019,1,kvyat,26,1,16:52:54,22.086
Australian Grand Prix,2019,1,russell,26,1,16:53:46,21.689
Australian Grand Prix,2019,1,stroll,27,1,16:54:21,22.471
Australian Grand Prix,2019,1,giovinazzi,27,1,16:54:58,27.172
Australian Grand Prix,2019,1,leclerc,28,1,16:55:26,22.306
Australian Grand Prix,2019,1,kubica,28,2,16:58:10,22.343
Australian Grand Prix,2019,1,gasly,37,1,17:09:14,21.269
Australian Grand Prix,2019,1,russell,42,2,17:18:18,21.543
Australian Grand Prix,2019,1,kubica,44,3,17:22:42,21.889
Bahrain Grand Prix,2019,2,stroll,1,1,18:15:42,34.338
Bahrain Grand Prix,2019,2,grosjean,1,1,18:15:49,32.082
Bahrain Grand Prix,2019,2,sainz,4,1,18:20:43,45.543
Bahrain Grand Prix,2019,2,perez,8,1,18:26:49,27.136
Bahrain Grand Prix,2019,2,raikkonen,9,1,18:28:25,25.647
Bahrain Grand Prix,2019,2,gasly,9,1,18:28:32,27.557
Bahrain Grand Prix,2019,2,albon,9,1,18:28:33,25.659
Bahrain Grand Prix,2019,2,norris,10,1,18:30:09,24.175
Bahrain Grand Prix,2019,2,kevin_magnussen,10,1,18:30:10,24.948
Bahrain Grand Prix,2019,2,max_verstappen,11,1,18:31:32,24.199
Bahrain Grand Prix,2019,2,kubica,11,1,18:32:04,24.667
Bahrain Grand Prix,2019,2,bottas,12,1,18:33:08,24.865
Bahrain Grand Prix,2019,2,hulkenberg,12,1,18:33:19,25.498
Bahrain Grand Prix,2019,2,kvyat,12,1,18:33:44,26.508
Bahrain Grand Prix,2019,2,russell,12,1,18:33:46,24.633
Bahrain Grand Prix,2019,2,leclerc,13,1,18:34:36,24.518
Bahrain Grand Prix,2019,2,hamilton,13,1,18:34:41,24.255
Bahrain Grand Prix,2019,2,vettel,14,1,18:36:18,24.228
Bahrain Grand Prix,2019,2,giovinazzi,16,1,18:40:11,27.725
Bahrain Grand Prix,2019,2,stroll,23,2,18:52:28,26.600
Bahrain Grand Prix,2019,2,ricciardo,24,1,18:53:09,25.676
Bahrain Grand Prix,2019,2,sainz,24,2,18:54:12,25.034
Bahrain Grand Prix,2019,2,albon,25,2,18:55:06,24.842
Bahrain Grand Prix,2019,2,russell,26,2,18:57:17,24.912
Bahrain Grand Prix,2019,2,kubica,27,2,18:59:03,24.313
Bahrain Grand Prix,2019,2,max_verstappen,32,2,19:05:59,26.729
Bahrain Grand Prix,2019,2,hulkenberg,32,2,19:06:16,25.253
Bahrain Grand Prix,2019,2,raikkonen,33,2,19:08:04,25.621
Bahrain Grand Prix,2019,2,perez,33,2,19:08:18,26.798
Bahrain Grand Prix,2019,2,hamilton,34,2,19:08:53,24.324
Chinese Grand Prix,2019,3,sainz,1,1,14:15:38,45.878
Chinese Grand Prix,2019,3,norris,1,1,14:15:45,50.738
Chinese Grand Prix,2019,3,kvyat,7,1,14:25:49,17.257
Chinese Grand Prix,2019,3,giovinazzi,7,1,14:25:51,25.184
Chinese Grand Prix,2019,3,grosjean,8,1,14:27:26,23.261
Chinese Grand Prix,2019,3,kevin_magnussen,9,1,14:29:10,23.964
Chinese Grand Prix,2019,3,hulkenberg,11,1,14:32:24,24.107
Chinese Grand Prix,2019,3,max_verstappen,17,1,14:42:01,23.223
Chinese Grand Prix,2019,3,norris,17,2,14:43:26,33.638
Chinese Grand Prix,2019,3,vettel,18,1,14:43:39,22.749
Chinese Grand Prix,2019,3,ricciardo,18,1,14:44:01,23.506
Chinese Grand Prix,2019,3,gasly,19,1,14:45:31,22.301
Chinese Grand Prix,2019,3,albon,19,1,14:46:02,23.215
Chinese Grand Prix,2019,3,perez,20,1,14:47:27,23.733
Chinese Grand Prix,2019,3,stroll,20,1,14:47:41,23.466
Chinese Grand Prix,2019,3,bottas,21,1,14:48:27,22.196
Chinese Grand Prix,2019,3,hamilton,22,1,14:50:01,22.644
Chinese Grand Prix,2019,3,leclerc,22,1,14:50:21,22.921
Chinese Grand Prix,2019,3,russell,22,1,14:51:29,24.332
Chinese Grand Prix,2019,3,raikkonen,25,1,14:55:54,23.888
Chinese Grand Prix,2019,3,kvyat,25,2,14:56:18,26.050
Chinese Grand Prix,2019,3,kubica,26,1,14:58:30,32.627
Chinese Grand Prix,2019,3,giovinazzi,30,2,15:04:51,25.137
Chinese Grand Prix,2019,3,kvyat,30,3,15:04:57,43.206
Chinese Grand Prix,2019,3,kevin_magnussen,33,2,15:09:45,23.383
Chinese Grand Prix,2019,3,max_verstappen,34,2,15:10:12,22.365
Chinese Grand Prix,2019,3,vettel,35,2,15:11:41,22.316
Chinese Grand Prix,2019,3,norris,34,3,15:12:20,22.524
Chinese Grand Prix,2019,3,grosjean,35,2,15:12:56,23.520
Chinese Grand Prix,2019,3,hamilton,36,2,15:13:05,23.597
Azerbaijan Grand Prix,2019,4,kvyat,5,1,16:23:10,21.013
Azerbaijan Grand Prix,2019,4,raikkonen,6,1,16:25:08,21.401
Azerbaijan Grand Prix,2019,4,kevin_magnussen,7,1,16:26:55,20.118
Azerbaijan Grand Prix,2019,4,giovinazzi,7,1,16:27:02,20.776
Azerbaijan Grand Prix,2019,4,hulkenberg,8,1,16:28:49,21.325
Azerbaijan Grand Prix,2019,4,norris,9,1,16:30:25,19.819
Azerbaijan Grand Prix,2019,4,perez,10,1,16:32:13,20.939
Azerbaijan Grand Prix,2019,4,stroll,10,1,16:32:27,23.099
Azerbaijan Grand Prix,2019,4,ricciardo,10,1,16:32:28,20.884
Azerbaijan Grand Prix,2019,4,vettel,11,1,16:33:45,19.981
Azerbaijan Grand Prix,2019,4,bottas,12,1,16:35:24,20.006
Azerbaijan Grand Prix,2019,4,sainz,12,1,16:35:58,19.755
Azerbaijan Grand Prix,2019,4,albon,12,1,16:36:16,20.720
Azerbaijan Grand Prix,2019,4,hamilton,13,1,16:37:17,19.993
Azerbaijan Grand Prix,2019,4,max_verstappen,14,1,16:39:16,20.973
Azerbaijan Grand Prix,2019,4,kubica,14,1,16:40:06,15.069
Azerbaijan Grand Prix,2019,4,kubica,23,2,16:57:00,21.037
Azerbaijan Grand Prix,2019,4,russell,25,1,17:00:30,20.475
Azerbaijan Grand Prix,2019,4,leclerc,34,1,17:14:53,20.382
Azerbaijan Grand Prix,2019,4,hulkenberg,34,2,17:16:30,20.870
Azerbaijan Grand Prix,2019,4,grosjean,34,1,17:16:33,20.906
Azerbaijan Grand Prix,2019,4,russell,38,2,17:24:45,20.751
Azerbaijan Grand Prix,2019,4,norris,39,2,17:25:02,22.080
Azerbaijan Grand Prix,2019,4,kevin_magnussen,39,2,17:26:07,20.859
Azerbaijan Grand Prix,2019,4,kubica,42,3,17:33:14,20.703
Azerbaijan Grand Prix,2019,4,leclerc,47,2,17:39:16,19.857
Spanish Grand Prix,2019,5,giovinazzi,6,1,15:21:55,22.381
Spanish Grand Prix,2019,5,vettel,19,1,15:39:39,23.746
Spanish Grand Prix,2019,5,max_verstappen,20,1,15:40:52,22.417
Spanish Grand Prix,2019,5,kvyat,21,1,15:42:48,22.049
Spanish Grand Prix,2019,5,gasly,22,1,15:43:55,22.563
Spanish Grand Prix,2019,5,stroll,22,1,15:44:26,23.321
Spanish Grand Prix,2019,5,kevin_magnussen,23,1,15:45:34,22.025
Spanish Grand Prix,2019,5,ricciardo,24,1,15:47:07,22.379
Spanish Grand Prix,2019,5,sainz,24,1,15:47:10,21.468
Spanish Grand Prix,2019,5,perez,24,1,15:47:11,22.781
Spanish Grand Prix,2019,5,leclerc,25,1,15:47:53,23.646
Spanish Grand Prix,2019,5,albon,25,1,15:48:27,23.591
Spanish Grand Prix,2019,5,bottas,26,1,15:49:04,22.034
Spanish Grand Prix,2019,5,grosjean,26,1,15:49:40,22.379
Spanish Grand Prix,2019,5,norris,26,1,15:50:07,21.579
Spanish Grand Prix,2019,5,hamilton,27,1,15:50:16,22.265
Spanish Grand Prix,2019,5,raikkonen,28,1,15:53:02,22.342
Spanish Grand Prix,2019,5,kubica,31,1,15:58:16,21.954
Spanish Grand Prix,2019,5,russell,32,1,15:59:33,22.442
Spanish Grand Prix,2019,5,hulkenberg,35,1,16:02:40,22.193
Spanish Grand Prix,2019,5,vettel,40,2,16:08:48,21.643
Spanish Grand Prix,2019,5,giovinazzi,41,2,16:12:09,23.507
Spanish Grand Prix,2019,5,max_verstappen,43,2,16:12:43,22.540
Spanish Grand Prix,2019,5,bottas,45,2,16:15:21,22.018
Spanish Grand Prix,2019,5,kvyat,45,2,16:16:25,33.821
Spanish Grand Prix,2019,5,kevin_magnussen,45,2,16:16:29,22.992
Spanish Grand Prix,2019,5,albon,45,2,16:16:34,37.345
Spanish Grand Prix,2019,5,hamilton,46,2,16:16:43,22.511
Spanish Grand Prix,2019,5,ricciardo,45,2,16:16:58,22.702
Spanish Grand Prix,2019,5,perez,45,2,16:17:06,22.896
Monaco Grand Prix,2019,6,hulkenberg,9,1,15:24:59,25.532
Monaco Grand Prix,2019,6,leclerc,9,1,15:25:11,25.964
Monaco Grand Prix,2019,6,russell,10,1,15:26:35,26.165
Monaco Grand Prix,2019,6,hamilton,11,1,15:27:03,24.266
Monaco Grand Prix,2019,6,bottas,11,1,15:27:11,25.030
Monaco Grand Prix,2019,6,vettel,11,1,15:27:12,24.483
Monaco Grand Prix,2019,6,max_verstappen,11,1,15:27:12,24.011
Monaco Grand Prix,2019,6,ricciardo,11,1,15:27:55,24.269
Monaco Grand Prix,2019,6,kevin_magnussen,11,1,15:27:55,25.419
Monaco Grand Prix,2019,6,perez,11,1,15:28:09,28.463
Monaco Grand Prix,2019,6,bottas,12,2,15:29:18,24.776
Monaco Grand Prix,2019,6,leclerc,16,2,15:36:31,25.705
Monaco Grand Prix,2019,6,kubica,21,1,15:43:09,23.946
Monaco Grand Prix,2019,6,gasly,27,1,15:50:18,24.161
Monaco Grand Prix,2019,6,sainz,30,1,15:54:15,23.795
Monaco Grand Prix,2019,6,kvyat,32,1,15:56:48,24.023
Monaco Grand Prix,2019,6,stroll,39,1,16:06:35,24.591
Monaco Grand Prix,2019,6,albon,40,1,16:07:15,25.062
Monaco Grand Prix,2019,6,giovinazzi,44,1,16:13:29,35.651
Monaco Grand Prix,2019,6,raikkonen,46,1,16:15:59,26.299
Monaco Grand Prix,2019,6,norris,47,1,16:16:57,25.026
Monaco Grand Prix,2019,6,grosjean,50,1,16:20:12,24.219
Monaco Grand Prix,2019,6,gasly,62,2,16:35:42,23.858
Canadian Grand Prix,2019,7,albon,1,1,14:14:33,37.950
Canadian Grand Prix,2019,7,sainz,3,1,14:17:05,24.727
Canadian Grand Prix,2019,7,raikkonen,6,1,14:21:09,25.342
Canadian Grand Prix,2019,7,gasly,7,1,14:22:11,23.485
Canadian Grand Prix,2019,7,ricciardo,8,1,14:23:27,23.927
Canadian Grand Prix,2019,7,kubica,8,1,14:24:00,25.210
Canadian Grand Prix,2019,7,russell,9,1,14:25:14,23.686
Canadian Grand Prix,2019,7,perez,11,1,14:27:40,24.076
Canadian Grand Prix,2019,7,kvyat,12,1,14:28:56,23.825
Canadian Grand Prix,2019,7,hulkenberg,16,1,14:33:51,24.030
Canadian Grand Prix,2019,7,vettel,26,1,14:46:21,23.782
Canadian Grand Prix,2019,7,hamilton,28,1,14:48:57,23.662
Canadian Grand Prix,2019,7,bottas,30,1,14:51:51,23.994
Canadian Grand Prix,2019,7,leclerc,33,1,14:55:25,23.732
Canadian Grand Prix,2019,7,giovinazzi,33,1,14:56:30,23.884
Canadian Grand Prix,2019,7,grosjean,34,1,14:57:56,24.071
Canadian Grand Prix,2019,7,kubica,38,2,15:04:19,23.119
Canadian Grand Prix,2019,7,kevin_magnussen,39,1,15:04:54,24.381
Canadian Grand Prix,2019,7,stroll,45,1,15:11:32,23.727
Canadian Grand Prix,2019,7,max_verstappen,48,1,15:14:55,23.426
Canadian Grand Prix,2019,7,raikkonen,58,2,15:28:58,24.666
Canadian Grand Prix,2019,7,bottas,67,2,15:38:52,23.456
French Grand Prix,2019,8,giovinazzi,7,1,15:25:01,30.842
French Grand Prix,2019,8,ricciardo,16,1,15:39:36,31.031
French Grand Prix,2019,8,kevin_magnussen,16,1,15:39:52,30.832
French Grand Prix,2019,8,gasly,17,1,15:41:13,30.228
French Grand Prix,2019,8,norris,18,1,15:42:44,30.576
French Grand Prix,2019,8,perez,18,1,15:42:54,37.286
French Grand Prix,2019,8,sainz,19,1,15:44:20,29.920
French Grand Prix,2019,8,max_verstappen,20,1,15:45:33,30.118
French Grand Prix,2019,8,leclerc,21,1,15:47:03,30.203
French Grand Prix,2019,8,bottas,23,1,15:50:09,30.412
French Grand Prix,2019,8,hamilton,24,1,15:51:35,30.186
French Grand Prix,2019,8,kubica,24,1,15:53:31,29.792
French Grand Prix,2019,8,vettel,25,1,15:53:36,30.044
French Grand Prix,2019,8,albon,25,1,15:54:23,30.279
French Grand Prix,2019,8,russell,25,1,15:55:03,31.950
French Grand Prix,2019,8,raikkonen,31,1,16:03:51,29.975
French Grand Prix,2019,8,grosjean,31,1,16:04:18,30.837
French Grand Prix,2019,8,kvyat,32,1,16:05:49,30.233
French Grand Prix,2019,8,russell,33,2,16:08:33,37.494
French Grand Prix,2019,8,hulkenberg,34,1,16:08:41,30.884
French Grand Prix,2019,8,giovinazzi,34,2,16:09:23,31.697
French Grand Prix,2019,8,stroll,39,1,16:16:51,30.849
French Grand Prix,2019,8,vettel,51,2,16:35:13,30.468
Austrian Grand Prix,2019,9,kevin_magnussen,11,1,15:26:15,23.243
Austrian Grand Prix,2019,9,kevin_magnussen,13,2,15:29:01,16.224
Austrian Grand Prix,2019,9,kubica,19,1,15:36:00,21.525
Austrian Grand Prix,2019,9,bottas,21,1,15:37:18,22.552
Austrian Grand Prix,2019,9,vettel,21,1,15:37:22,25.236
Austrian Grand Prix,2019,9,leclerc,22,1,15:38:23,21.878
Austrian Grand Prix,2019,9,raikkonen,23,1,15:40:05,21.709
Austrian Grand Prix,2019,9,giovinazzi,24,1,15:41:20,21.672
Austrian Grand Prix,2019,9,norris,25,1,15:42:23,21.547
Austrian Grand Prix,2019,9,gasly,25,1,15:42:27,22.239
Austrian Grand Prix,2019,9,stroll,25,1,15:42:36,21.982
Austrian Grand Prix,2019,9,hulkenberg,26,1,15:43:43,21.985
Austrian Grand Prix,2019,9,russell,27,1,15:45:22,22.772
Austrian Grand Prix,2019,9,perez,28,1,15:46:02,22.330
Austrian Grand Prix,2019,9,hamilton,30,1,15:47:46,30.067
Austrian Grand Prix,2019,9,max_verstappen,31,1,15:49:00,21.110
Austrian Grand Prix,2019,9,kvyat,32,1,15:51:13,25.091
Austrian Grand Prix,2019,9,grosjean,34,1,15:53:32,22.265
Austrian Grand Prix,2019,9,albon,35,1,15:54:33,21.225
Austrian Grand Prix,2019,9,sainz,41,1,16:01:19,21.266
Austrian Grand Prix,2019,9,ricciardo,46,1,16:07:18,22.305
Austrian Grand Prix,2019,9,vettel,50,2,16:11:04,22.251
Austrian Grand Prix,2019,9,kevin_magnussen,62,3,16:27:00,22.309
British Grand Prix,2019,10,grosjean,1,1,14:15:12,33.562
British Grand Prix,2019,10,kevin_magnussen,1,1,14:15:41,32.767
British Grand Prix,2019,10,gasly,12,1,14:31:30,27.905
British Grand Prix,2019,10,ricciardo,12,1,14:31:41,28.416
British Grand Prix,2019,10,kvyat,12,1,14:31:52,29.377
British Grand Prix,2019,10,leclerc,13,1,14:32:59,28.558
British Grand Prix,2019,10,max_verstappen,13,1,14:33:00,27.827
British Grand Prix,2019,10,norris,13,1,14:33:12,28.275
British Grand Prix,2019,10,albon,13,1,14:33:18,28.954
British Grand Prix,2019,10,hulkenberg,13,1,14:33:19,28.926
British Grand Prix,2019,10,stroll,13,1,14:33:24,30.400
British Grand Prix,2019,10,bottas,16,1,14:37:23,28.493
British Grand Prix,2019,10,raikkonen,17,1,14:39:34,28.364
British Grand Prix,2019,10,perez,18,1,14:41:03,30.264
British Grand Prix,2019,10,hamilton,20,1,14:43:34,28.905
British Grand Prix,2019,10,vettel,20,1,14:43:56,28.021
British Grand Prix,2019,10,max_verstappen,20,2,14:44:20,27.950
British Grand Prix,2019,10,sainz,20,1,14:44:26,27.980
British Grand Prix,2019,10,ricciardo,20,2,14:44:42,28.381
British Grand Prix,2019,10,kubica,20,1,14:45:15,28.694
British Grand Prix,2019,10,leclerc,21,2,14:46:29,28.348
British Grand Prix,2019,10,kvyat,21,2,14:47:13,28.811
British Grand Prix,2019,10,russell,21,1,14:47:16,30.245
British Grand Prix,2019,10,perez,24,2,14:52:57,38.032
British Grand Prix,2019,10,norris,35,2,15:09:29,27.919
British Grand Prix,2019,10,vettel,38,2,15:14:24,38.468
British Grand Prix,2019,10,stroll,39,2,15:15:42,29.074
British Grand Prix,2019,10,bottas,45,2,15:23:52,28.177
British Grand Prix,2019,10,perez,46,3,15:26:57,28.747
German Grand Prix,2019,11,vettel,2,1,15:23:38,20.094
German Grand Prix,2019,11,albon,2,1,15:23:41,20.576
German Grand Prix,2019,11,hamilton,3,1,15:25:13,20.203
German Grand Prix,2019,11,bottas,3,1,15:25:19,22.243
German Grand Prix,2019,11,max_verstappen,3,1,15:25:20,22.358
German Grand Prix,2019,11,raikkonen,3,1,15:25:22,27.256
German Grand Prix,2019,11,hulkenberg,3,1,15:25:24,22.132
German Grand Prix,2019,11,leclerc,3,1,15:25:25,20.361
German Grand Prix,2019,11,grosjean,3,1,15:25:31,27.232
German Grand Prix,2019,11,gasly,3,1,15:25:33,29.667
German Grand Prix,2019,11,sainz,3,1,15:25:34,23.363
German Grand Prix,2019,11,giovinazzi,3,1,15:25:37,22.509
German Grand Prix,2019,11,ricciardo,3,1,15:25:39,21.224
German Grand Prix,2019,11,kvyat,3,1,15:25:41,23.090
German Grand Prix,2019,11,norris,6,1,15:31:10,21.402
German Grand Prix,2019,11,stroll,7,1,15:32:46,22.696
German Grand Prix,2019,11,russell,7,1,15:32:56,20.718
German Grand Prix,2019,11,kubica,7,1,15:33:00,23.801
German Grand Prix,2019,11,kevin_magnussen,8,1,15:34:19,21.106
German Grand Prix,2019,11,leclerc,15,2,15:44:43,22.102
German Grand Prix,2019,11,hulkenberg,15,2,15:44:55,20.118
German Grand Prix,2019,11,kevin_magnussen,21,2,15:55:12,21.179
German Grand Prix,2019,11,vettel,23,2,15:57:40,20.768
German Grand Prix,2019,11,kubica,23,2,15:59:08,20.436
German Grand Prix,2019,11,max_verstappen,25,2,16:00:07,19.640
German Grand Prix,2019,11,russell,24,2,16:00:34,19.287
German Grand Prix,2019,11,kvyat,25,2,16:01:14,21.488
German Grand Prix,2019,11,norris,25,2,16:01:15,20.242
German Grand Prix,2019,11,stroll,25,2,16:01:22,21.260
German Grand Prix,2019,11,bottas,26,2,16:01:40,20.498
Hungarian Grand Prix,2019,12,bottas,5,1,15:19:58,33.328
Hungarian Grand Prix,2019,12,giovinazzi,15,1,15:34:25,23.218
Hungarian Grand Prix,2019,12,russell,16,1,15:35:47,21.333
Hungarian Grand Prix,2019,12,stroll,16,1,15:35:49,22.085
Hungarian Grand Prix,2019,12,perez,18,1,15:38:23,21.901
Hungarian Grand Prix,2019,12,kubica,18,1,15:38:44,21.754
Hungarian Grand Prix,2019,12,grosjean,19,1,15:39:45,22.035
Hungarian Grand Prix,2019,12,kvyat,21,1,15:42:35,23.002
Hungarian Grand Prix,2019,12,max_verstappen,25,1,15:46:59,21.705
Hungarian Grand Prix,2019,12,leclerc,27,1,15:50:09,21.575
Hungarian Grand Prix,2019,12,norris,28,1,15:52:00,26.066
Hungarian Grand Prix,2019,12,gasly,28,1,15:52:02,22.104
Hungarian Grand Prix,2019,12,albon,28,1,15:52:18,23.676
Hungarian Grand Prix,2019,12,sainz,29,1,15:53:20,21.832
Hungarian Grand Prix,2019,12,raikkonen,29,1,15:53:23,22.205
Hungarian Grand Prix,2019,12,hamilton,31,1,15:55:15,22.880
Hungarian Grand Prix,2019,12,hulkenberg,36,1,16:03:27,21.734
Hungarian Grand Prix,2019,12,kevin_magnussen,38,1,16:06:21,21.618
Hungarian Grand Prix,2019,12,vettel,39,1,16:06:53,24.819
Hungarian Grand Prix,2019,12,bottas,46,2,16:17:11,21.744
Hungarian Grand Prix,2019,12,ricciardo,46,1,16:17:28,22.498
Hungarian Grand Prix,2019,12,hamilton,48,2,16:18:24,21.390
Hungarian Grand Prix,2019,12,stroll,50,2,16:23:45,21.563
Hungarian Grand Prix,2019,12,max_verstappen,67,2,16:43:52,21.164
Belgian Grand Prix,2019,13,ricciardo,1,1,15:16:08,27.620
Belgian Grand Prix,2019,13,raikkonen,1,1,15:16:10,39.046
Belgian Grand Prix,2019,13,sainz,1,1,15:16:37,59.291
Belgian Grand Prix,2019,13,raikkonen,2,2,15:19:12,25.005
Belgian Grand Prix,2019,13,hulkenberg,11,1,15:37:54,23.475
Belgian Grand Prix,2019,13,gasly,13,1,15:41:31,22.772
Belgian Grand Prix,2019,13,stroll,14,1,15:43:25,22.774
Belgian Grand Prix,2019,13,vettel,15,1,15:44:47,22.863
Belgian Grand Prix,2019,13,perez,15,1,15:45:09,23.133
Belgian Grand Prix,2019,13,grosjean,16,1,15:46:59,22.912
Belgian Grand Prix,2019,13,norris,19,1,15:52:24,23.182
Belgian Grand Prix,2019,13,leclerc,21,1,15:55:38,22.449
Belgian Grand Prix,2019,13,hamilton,22,1,15:57:31,23.497
Belgian Grand Prix,2019,13,bottas,23,1,15:59:25,22.579
Belgian Grand Prix,2019,13,albon,23,1,16:00:08,22.506
Belgian Grand Prix,2019,13,kvyat,24,1,16:01:55,22.834
Belgian Grand Prix,2019,13,kevin_magnussen,25,1,16:04:08,22.584
Belgian Grand Prix,2019,13,giovinazzi,29,1,16:11:12,23.044
Belgian Grand Prix,2019,13,stroll,30,2,16:13:12,25.250
Belgian Grand Prix,2019,13,russell,30,1,16:13:41,22.442
Belgian Grand Prix,2019,13,hulkenberg,31,2,16:15:01,
Belgian Grand Prix,2019,13,raikkonen,31,3,16:15:33,26.891
Belgian Grand Prix,2019,13,kubica,31,1,16:15:35,24.247
Belgian Grand Prix,2019,13,vettel,33,2,16:17:35,22.786
Italian Grand Prix,2019,14,max_verstappen,1,1,15:14:58,31.211
Italian Grand Prix,2019,14,vettel,6,1,15:22:18,32.443
Italian Grand Prix,2019,14,grosjean,7,1,15:23:54,26.481
Italian Grand Prix,2019,14,vettel,12,2,15:31:23,31.851
Italian Grand Prix,2019,14,stroll,15,1,15:35:16,18.838
Italian Grand Prix,2019,14,hamilton,19,1,15:40:19,23.912
Italian Grand Prix,2019,14,raikkonen,19,1,15:41:10,32.393
Italian Grand Prix,2019,14,leclerc,20,1,15:41:42,23.833
Italian Grand Prix,2019,14,kevin_magnussen,20,1,15:42:25,24.400
Italian Grand Prix,2019,14,giovinazzi,21,1,15:43:42,25.698
Italian Grand Prix,2019,14,stroll,22,2,15:45:38,24.419
Italian Grand Prix,2019,14,norris,23,1,15:46:48,24.311
Italian Grand Prix,2019,14,russell,23,1,15:47:03,24.198
Italian Grand Prix,2019,14,albon,26,1,15:50:47,29.830
Italian Grand Prix,2019,14,bottas,27,1,15:51:41,23.700
Italian Grand Prix,2019,14,raikkonen,26,2,15:51:50,24.568
Italian Grand Prix,2019,14,sainz,27,1,15:52:12,27.010
Italian Grand Prix,2019,14,max_verstappen,27,2,15:52:30,24.303
Italian Grand Prix,2019,14,kvyat,28,1,15:53:53,24.479
Italian Grand Prix,2019,14,perez,28,1,15:54:06,25.340
Italian Grand Prix,2019,14,gasly,28,1,15:54:11,24.363
Italian Grand Prix,2019,14,hulkenberg,29,1,15:55:13,24.092
Italian Grand Prix,2019,14,kubica,29,1,15:56:17,31.842
Italian Grand Prix,2019,14,ricciardo,30,1,15:56:33,24.320
Italian Grand Prix,2019,14,grosjean,29,2,15:56:36,25.121
Italian Grand Prix,2019,14,kevin_magnussen,34,2,16:03:34,24.978
Italian Grand Prix,2019,14,vettel,41,3,16:13:46,24.376
Italian Grand Prix,2019,14,kubica,44,2,16:18:54,23.860
Italian Grand Prix,2019,14,hamilton,49,2,16:23:22,23.731
Singapore Grand Prix,2019,15,hulkenberg,1,1,20:15:37,29.563
Singapore Grand Prix,2019,15,russell,1,1,20:15:56,38.752
Singapore Grand Prix,2019,15,kvyat,12,1,20:35:59,28.799
Singapore Grand Prix,2019,15,perez,13,1,20:37:45,29.082
Singapore Grand Prix,2019,15,raikkonen,15,1,20:41:17,29.992
Singapore Grand Prix,2019,15,kevin_magnussen,18,1,20:46:43,29.403
Singapore Grand Prix,2019,15,vettel,19,1,20:48:19,29.384
Singapore Grand Prix,2019,15,max_verstappen,19,1,20:48:22,28.846
Singapore Grand Prix,2019,15,leclerc,20,1,20:50:05,29.168
Singapore Grand Prix,2019,15,albon,20,1,20:50:14,28.606
Singapore Grand Prix,2019,15,norris,20,1,20:50:16,30.397
Singapore Grand Prix,2019,15,kubica,21,1,20:52:58,29.033
Singapore Grand Prix,2019,15,bottas,22,1,20:53:46,29.234
Singapore Grand Prix,2019,15,grosjean,23,1,20:56:19,29.456
Singapore Grand Prix,2019,15,hamilton,26,1,21:00:55,28.930
Singapore Grand Prix,2019,15,stroll,31,1,21:10:22,29.482
Singapore Grand Prix,2019,15,gasly,32,1,21:12:09,32.482
Singapore Grand Prix,2019,15,giovinazzi,34,1,21:16:02,29.070
Singapore Grand Prix,2019,15,ricciardo,34,1,21:16:25,30.756
Singapore Grand Prix,2019,15,grosjean,35,2,21:18:29,43.576
Singapore Grand Prix,2019,15,hulkenberg,36,2,21:19:55,29.152
Singapore Grand Prix,2019,15,kvyat,36,2,21:20:05,34.711
Singapore Grand Prix,2019,15,sainz,35,2,21:20:33,30.623
Singapore Grand Prix,2019,15,giovinazzi,36,2,21:20:38,28.960
Singapore Grand Prix,2019,15,stroll,41,2,21:32:33,39.188
Singapore Grand Prix,2019,15,kubica,44,2,21:38:24,30.321
Singapore Grand Prix,2019,15,stroll,44,3,21:39:08,29.460
Singapore Grand Prix,2019,15,kevin_magnussen,56,2,22:04:12,30.916
Russian Grand Prix,2019,16,kubica,1,1,14:15:50,30.587
Russian Grand Prix,2019,16,ricciardo,1,1,14:16:36,36.031
Russian Grand Prix,2019,16,giovinazzi,2,1,14:18:23,38.193
Russian Grand Prix,2019,16,kubica,2,2,14:18:29,30.177
Russian Grand Prix,2019,16,raikkonen,9,1,14:31:21,25.038
Russian Grand Prix,2019,16,hulkenberg,16,1,14:43:01,34.264
Russian Grand Prix,2019,16,norris,20,1,14:49:42,29.290
Russian Grand Prix,2019,16,sainz,21,1,14:51:18,30.103
Russian Grand Prix,2019,16,leclerc,22,1,14:52:17,29.548
Russian Grand Prix,2019,16,perez,23,1,14:54:44,30.271
Russian Grand Prix,2019,16,vettel,26,1,14:58:48,29.860
